"Feature","LineCount","TestCount","IssueCount"
"Tokenizer",1100,20,5
"Parser",2200,15,8
"AST Generation",1800,12,6
"Template Parsing",2500,8,15
"Error Recovery",1200,10,7
"Attribute Handling",900,6,4
"Enum Parsing",600,15,3
"String Literal Handling",700,8,6
"Operator Precedence",800,5,3
"Function Declaration Parsing",1500,10,12
"Mixin Support",1100,7,9
"Pragma Handling",800,4,5
"Module Declaration",600,20,2
"Import Statement Parsing",700,15,4
"Conditional Compilation",1200,12,10
"Crazy D syntax",3000,3,25
"Array Operations",1000,8,7
"Contract Parsing",900,6,5
"Inline Assembly",1100,4,8
"DIP Implementation",1300,10,14